Question,Answer
"Will Wi-Fi Calling work on a prepaid card of Jammu & Kashmir, Assam & North East when in International Roaming?","As per Indian Regulations, IR pack purchases for Jammu & Kashmir, Assam and North East are not allowed on prepaid subscriptions, due to which you will not be able to use  Wi-Fi Calling  ."
Can I use Wi-Fi Calling while in Airplane mode?,"Yes, the  Wi-Fi Calling  service can be used when your phone is in ‘Airplane Mode'."
How can I get support for Wi-Fi Calling issues while abroad?,"For support while abroad: 
 Our dedicated Global Help Desk is available 24/7 to assist you. 
 WhatsApp Support: Message ""Hi"" to  +91 70188 99999. 
 International Helpline: Call our specialized Overseas Support Team at +91 70188 99999 (Toll-Free for International Roaming customers)."
What are the benefits/entitlements of the Jio In-Flight Packs?,"Jio  offers 3 In-Flight Communication (IFC) packs to suit your need 195, 295 and 595. These are hybrid packs and can be subscribed by both prepaid and postpaid Jio mobile customers. 
  
 
 
 
 Offer name 
 In-Flight Pack – 195 
 In-Flight Pack – 295 
 In-Flight Pack – 595 
 
 
 MRP 
 ₹195 
 ₹295 
 ₹595 
 
 
 Pack Type 
 Hybrid pack 
 Hybrid pack 
 Hybrid pack 
 
 
 Pack Entitlement 
 Data  - 250 MB 
 Outgoing calls  - 100 mins 
 SMS  - 100 SMS 
 
			Please note that usage entitlements applicable only for In-Flight Packs 
 Data  - 500 MB 
 Outgoing calls  - 100 mins 
 SMS  - 100 SMS 
 
			Please note that usage entitlements applicable only for In-Flight Packs 
 Data  - 1 GB 
 Outgoing calls  - 100 mins 
 SMS  - 100 SMS 
 
			Please note that usage entitlements applicable only for In-Flight Packs 
 
 
 Validity 
 1 day* 
 1 day* 
 1 day* 
 
 
 Incoming calls 
 In-Flight incoming calls are not allowed on this pack 
 In-Flight incoming calls are not allowed on this pack 
 In-Flight incoming calls are not allowed on this pack 
 
 
 Beyond Entitlement 
 In-Flight usage not allowed 
 
			You can recharge with additional pack to get the In-Flight Pack entitlement 
 In-Flight usage not allowed 
 
			You can recharge with additional pack to get the In-Flight Pack entitlement 
 In-Flight usage not allowed 
 
			You can recharge with additional pack to get the In-Flight Pack entitlement 
 
 
 *1 day is 24 hours, starting from 1st usage in the plane. 
 
			Incoming SMS are allowed"
Do I have to activate IR service to be able to use In-Flight services?,"No. You only have to recharge with the In-Flight pack to be able to use In-Flight Data, Voice and text services. Your  IR service   will get activated on recharge of the In-Flight Pack automatically."
"I am an In-Flight Pack user, will I be charged for incoming messages while on In-Flight?","All incoming text messages are free for In-Flight pack users. For non-pack users In-Flight services are not available and hence, incoming messages cannot be received."
What happens if my In-Flight Pack gets expired?,"In-Flight Pack offers limited entitlements of Data, Voice and text usage. 
   
 
 You may choose suitable In-Flight pack as per your In-Flight usage requirements 
 You can also do multiple recharges of In-Flight Pack 
 You can do another recharge of In-Flight pack through  MyJio  or  jio.com  before expiry of your existing IFC pack and exhaustion of data entitlement 
 
   
 Please note that In-flight services are available only to In-Flight pack users as long as validity and entitlements are available. In-flight services are not available on PayGo rates."
Will I be charged for incoming calls while using In-flight service?,"Incoming calls are not allowed in Jio Inflight service. Only Inflight Data, Outgoing voice and SMS services are available, to the active In-Flight Pack users."
I have recharged with an In-Flight Pack. Which all outgoing voice calls I can make?,"All voice outgoing calls (except calls to satellite, premium IR numbers, Short codes, and special numbers) are allowed."
"I have recharged with an In-Flight Pack, when will the pack validity start?","Your pack will remain in queue until you make a call/data/SMS while in the flight. On the first usage instance on the In-Flight Pack, the pack validity starts and remains valid for next 24 hours from that time. 
   
 
 Please note In-flight services network will be available only in the covered flight and when your flight attains height of 20,000 feet above the ground."
"I am a Postpaid customer, can I buy prepaid In-Flight pack?","Yes, you can buy prepaid In-Flight Pack. Steps to purchase In-Flight Pack are given below. 
 

 MyJio App 
 
 Open the  MyJio app 
 Select Mobile and Tap on ‘Get an Add on packs’ 
 Select ‘In-flight Connectivity packs’ 
 Click on Inflight connectivity packs 
 Select the pack which you want to recharge 
 Tap on buy and select the payment mode and make the payment 
 
 
 Jio.com 
 
 Open  www.jio.com 
 Click on ‘Mobile’ then select ‘International Services’ Tab. 
 Scroll and select ‘Plans you may like’ under ‘In-flight connectivity packs’ 
 From the packs available choose – ‘In-Flight Connectivity’ packs 
 Choose your pack as per your need and click on ‘Buy’ 
 
 
 Post recharge, your IR services will be automatically activated along with the IR pack. 
 

 Jio Store / Jio Retailer 
 
 You can visit our Jio store or Jio Retailer to recharge your Jio number with our In-Flight Pack 
 Post recharge your IR services will be automatically activated along with the In-Flight pack"
Where can I view my In-Flight Packs usage in my Statement of Account / Invoice?,In-Flight Packs usage will be displayed under ‘Itemized Usage’ with the header ‘Satellite’ in your Statement of Account / Invoice.
What is International roaming In-Flight service?,"Jio Inflight service allows you to stay connected in the covered flight at above 20000 feet. You need to recharge with Jio prepaid in-flight communication Packs before onboarding the flight. 
   
 Customers with active In-flight connectivity (IFC) Packs, will be able to use data, outgoing voice calls and SMS (wherever applicable) as per the pack entitlement quota available. 
   
 Please check the list of airlines/international flights in which you can use the in-flight service  here"
How can I use Jio IFC Packs and the steps activate IFC Packs?,"To use IFC Packs providing inflight data, outgoing voice calls and SMS,  you have to recharge with the IFC Packs (applicable for both prepaid and postpaid customers) before boarding the flight  when connected to Jio network. 
   
 Once you are in the flight and the flight has reached 20,000 feet and above, follow these steps:

 
 Switch on your phone with Airplane Mode off 
 Your phone will automatically connect to the AeroMobile network. The network name may differ dependent on the handset 
 If your phone does not connect to the AeroMobile network automatically you will need to go to ‘Carrier’ in your phone settings and manually select AeroMobile 
 Ensure Data Roaming is on to use data services 
 Once connected, you will receive a welcome text and pricing information 
 You can now use your mobile phone to call, text, email and surf the internet* 
 
 
 Incoming calls are not allowed. You will need to disable Wi-Fi connectivity to use mobile data. As a courtesy to fellow passengers, please keep your phone on vibrate. 
   
 *Please note - some applications can download data even when you are not actively using them, and you may be charged as a result. Manage your application settings to help avoid these costs. International roaming rates apply."
Can I recharge with the IFC Packs after reaching another country?,"Yes, you can recharge with the In-flight pack on  jio.com /  MyJio  by connecting to either a mobile or Wi-Fi network, just before boarding your flight."
What is the Data speed I will get in the IFC Packs?,The network speed of In-Flight connectivity is dependent on the in-flight network operators (OnAir or AeroMobile) and the regulations governing air travel. The in-flight network operators are constantly reviewing and innovating their services to provide a better surfing experience for the customers.
Can I use IFC Packs while the plane is in Indian Airspace?,"No, as per regulation In-Flight Communication (IFC) services are currently not available while you are in Indian Air Space."
In which all Airlines I can use Jio IFC Packs?,"In below given Airlines, you can use J
 Jio  IFC Packs. Data and SMS services are available in all Airlines. However, voice services are available in select Airlines. 
 
 All services = Voice, SMS and Data 
   
 
 
 
 # 
 Partner Airlines 
 Airports Served 
 Services Enabled 
 
 
 1 
 Aer Lingus 
 Scheduled transatlantic routes between Ireland and Orlando, Chicago, Boston, San Francisco, Washington DC, Newark, Los Angeles, Miami, Seattle, New York and Toronto. 
 Data and SMS 
 
 
 2 
 Air Serbia 
 AeroMobile services are available on flights from Air Serbia’s Belgrade hub to New York. 
 All Services 
 
 
 3 
 Alitalia 
 New Delhi  AeroMobile services are available on international flights, to destinations including New York, Miami and South America from Alitalia’s hub airports Milan and Rome 
 All Services 
 
 
 4 
 Asiana Airlines 
 Asiana Airlines’ in-flight mobile phone network is available on flights from its Seoul hub to China, Japan, Philippines, Singapore and the United States. 
 SMS and Voice No Data 
 
 
 5 
 Biman Bangladesh Airlines 
 New Delhi; West Bengal  AeroMobile services on selected flights to global destinations from its Dhaka hub 
 All Services 
 
 
 6 
 Cathay Pacific 
  Connected flights will depart from Cathay Pacific’s Hong Kong hub to destinations including Bangkok, Singapore, Osaka and other long-haul destinations. 
 Data and SMS 
 
 
 7 
 Egypt Air 
 New Delhi  EgyptAir offer AeroMobile services on selected flights to Europe, USA, Canada, South Africa and Asia. 
 All Services 
 
 
 8 
 Emirates 
 New Delhi; Bangalore; Chennai; Mumbai and more  AeroMobile is available on over 300 flights every day, to and from Dubai. 
 All Services 
 
 
 9 
 Etihad Airways 
 New Delhi; Bangalore; Chennai; Mumbai and more  AeroMobile services are available on flights to and from Abu Dhabi. The services are subject to airline scheduling, and cannot be guaranteed, please check onboard announcements for connectivity options on your flight. 
 All Services 
 
 
 10 
 Euro wings 
  Connected flights will depart from EuroWing’s German hub in Cologne, travelling to destinations including Cuba, Phuket, Dubai and Barbados. 
 All Services 
 
 
 11 
 EVA Air 
  AeroMobile services are available on flights to and from Taipei, New York, Los Angeles and Vietnam.  
 Data and SMS 
 
 
 12 
 Kuwait Airways 
 New Delhi; Mumbai  The service is available on flights from Kuwait International Airport to various long-haul destinations. 
 All Services 
 
 
 13 
 Lufthansa 
 New Delhi; Bangalore; Chennai; Mumbai  Lufthansa serves routes worldwide from their Munich and Frankfurt hubs. 
 Data and SMS 
 
 
 14 
 Malaysia Airlines 
 Mumbai  Malaysia Airlines operate its connected A350 aircraft on flights to and from London Heathrow, Japan (Narita International Airport) and Hong Kong from their hub in Kuala Lumpur. 
 All Services 
 
 
 15 
 Malindo Air 
 New Delhi; Bangalore; Chennai; Mumbai and more  AeroMobile services are available on flights to and from Malaysia, Indonesia, Thailand, India, Nepal and Bangladesh. 
 All Services 
 
 
 16 
 SAS Scandinavian Airlines 
 SAS operates connectivity services on domestic Scandinavian routes and long haul flights to the USA, Hong Kong, China and Japan 
 All Services 
 
 
 17 
 Singapore Airlines 
 New Delhi; Mumbai  AeroMobile services are available on routes to and from Singapore including London Heathrow, Hong Kong, Australia and Tokyo 
 Data and SMS 
 
 
 18 
 SWISS 
  Swiss operates connectivity services on domestic Scandinavian routes and long haul flights to the USA, Hong Kong, China and Japan 
 All Services 
 
 
 19 
 TAP Air Portugal 
  Scheduled routes to South and Central America including; Brazil, El Salvador and Mexico. 
 Data and SMS 
 
 
 20 
 Turkish Airlines 
 New Delhi; Mumbai; Chennai  The service is available on flights from Turkish Airlines Istanbul hub to various long-haul destinations. 
 Data and SMS 
 
 
 21 
 Uzbekistan Airways 
  Uzbekistan Airways offer AeroMobile services on selected flights to destinations including Europe, Asia and USA 
 All Services 
 
 
 22 
 Virgin Atlantic 
 New Delhi  The service is available on selected flights from Manchester and London Heathrow 
 All Services"
How can I activate In-Flight Pack?,"To use In-Flight pack providing in-flight data, outgoing voice calls and SMS, you have to recharge with the IFC Packs before boarding the flight. 

Once the flight has reached 20,000 feet, please follow these steps:

 
 Switch ON your phone with Airplane Mode Off 
 Your phone will automatically connect to the AeroMobile network (the network name may differ dependent on the handset) 
 If your phone does not connect to the AeroMobile network automatically, you will need to go to ‘Carrier’ in your phone settings and manually select ‘AeroMobile’ 
 Ensure Data Roaming is ON to use data services 
 
 Incoming calls are not allowed. You will need to disable Wi-Fi connectivity to use mobile data. As a courtesy to fellow passengers, please keep your phone on vibrate."
What if I am unable to use data services In-flight?,"If your phone does not connect to the AeroMobile network automatically you will need to go to ‘Carrier’ in your phone settings and manually select AeroMobile. 
   
 Step 1: To use data services, you will need to ensure Data Roaming is On 

Step 2: Once connected, you will receive a welcome text and pack benefits information 
 Step 3: You can now use your mobile phone to call, text, email and surf the internet* 
   
 *Please note that some applications can download data even when you are not actively using them, and you may be charged as a result. Manage your application settings to help avoid these costs."
"How do I make calls when in flight, and having IFC Packs activated?","Dial '+' followed by the country code, then key in the phone number. For example, to call from Singapore to India, dial +917018899999"
Can I access Jio's media apps while in flight?,"Jio media apps ( JioTV , etc.) are designed to work only within India. They are not available on international roaming."
"Will prepaid card of J&K, Assam & North East work when in In-Flight International Roaming under Postpaid Plans?","No. In-Flight service is an International Roaming service. As per prevailing Indian Regulations, Prepaid subscribers of J&K, Assam & North East will not be allowed to use International Roaming service."
I have subscribed to IFC Packs. Will I be able to make Video calls while in the flight?,"No, video calling feature is currently not available in Inflight services. 
 However, if you are using any OTT app (like WhatsApp) to make the video call then you will be able to continue to do so provided you have kept the data roaming ON. The data will be consumed from your IFC Pack entitlements."
How do I get  support for In-Flight Roaming  or network issues while I am in the flight?,"If you are connected to the In-Flight network and require support: 
 WhatsApp Support: Message ""Hi"" to +91 70188 99999. 
 Voice Support: Call our Global Helpline at +91 70188 99999. 
 
 Important Note on Usage Charges: 
 
 Voice Calls: Minutes will be deducted from your active In-Flight Connectivity (IFC) Pack voice entitlement. 
 WhatsApp: Data used will be deducted from your IFC Pack data entitlement."
"How do I check my IFC pack Data, voice and SMS balance entitlements?","You can check your usage details on  MyJio  or  jio.com . Login into your account, click the 'Usage' tab to check your usage details. 
 Note that your usage details are not real time and will have to check after few hours for recent data usage details."
What happens when Aircraft is closer to the ground?,"During take-off or landing, if you have recharged with a normal international roaming pack (₹1101 with unlimited data international roaming pack, etc.) and you are using the internet, the pack may be automatically activated due to low elevation of the aircraft, and strong signals from ground levels. 
   
 To prevent this from happening, you may wish to turn on flight-mode on your phone during take-off and landing, and when the aircraft is near your destination."
Are there any subscription or rentals charges for International Roaming (IR) service for Jio Prepaid Plans?,"No, there are no subscription or monthly rentals for IR service."
"If I recharge with a Voice & SMS-only domestic plan (e.g., ₹448 , ₹1748), can I use it for International Roaming?","No, that’s not possible. All our domestic plans including Voice & SMS-only plans (such as ₹448, ₹1748) are valid exclusively within India. To use International Roaming, you will need to  recharge  with an additional International Roaming (IR) pack of your choice. You can browse all our IR packs here and recharge effortlessly at a nominal fee."
Will I be charged if I reject an incoming call while on Jio's international roaming?,"No, you will not be charged if you reject an incoming call while using Jio's international roaming service. Charges only apply if you answer the call or use additional services like voicemail or call forwarding."
How will I be charged for usage while roaming internationally under Jio Prepaid Pack?,"International Roaming (IR) usage charges will be applicable based on the location where you are travelling in, the roaming network used and the kind of usage (Outgoing Local, Call back to India, Outgoing International, Incoming Calls, SMS & Data) 
 Jio IR charges are applicable as per the following two options: 
 
 Pay Go IR Rates – Standard rates applicable as default for Jio customers 
 IR Packs 
 
 As per your requirement, you can avail Jio IR Pay Go service or you can purchase an IR Pack. 
 
 For low to moderate IR usage across all countries, IR Pay Go service is recommended with rates starting as low as Rs.2 per min. 
 For medium to high usage in selected countries, customers can purchase IR Packs. 
 
 Kindly note, child account customers will have to buy suitable international roaming pack to make usage in international destination and cannot make usage on PayGo rates. 

 



 For International Roaming (IR) tariff, kindly visit  https://www.jio.com/selfcare/plans/mobility/jio-international-roaming-plans"
What are Voice and Data Packs under Jio Prepaid Packs?,"Jio offers Voice and Data Packs with inflight benefits and free incoming calls for the top countries starting at just ₹499. 
  

 Here’re the benefits of a Voice and Data Packs: 
 
 FREE incoming calls (including Wi-Fi Calls) except for ₹1,499 pack 
 Incoming SMS is Free 
 High-speed data and beyond Fair Usage Policy (FUP) which means once you have exhausted your data quota for the day, unlimited internet at 64 kbps 
 Outgoing calls and SMS over Wi-Fi Calling are not allowed 

	(To make calls/SMS disable only Wi-Fi Calling in your device’s Settings.) 
 Additional Inflight benefits in ₹2499, ₹4999, ₹3999 & ₹5999 packs :

	 
 100 mins Outgoing calls, 250 MB Data and 100 SMS 
 Incoming calls are not allowed in flight 
 
 Note:

	 
 Inflight benefits are applicable only for a single trip for the duration of 24 hrs, inclusive of the pack validityQ 
 Voice, data and SMS service availability will differ from airline to airline, please check the details before purchasing the pack 
 Inflight benefits are only applicable on our Partner Airlines. For list of Airlines  Click here 
 
 
 Need to recharge or to know more about IR packs? Please click  here ."
What is the new Caribbean pack?,"Jio offers exclusive packs for your go-to destination Caribbean. Here’s the benefits of Caribbean packs: 
 
 Unlimited incoming SMS 
 Outgoing calls include Local calls within the country and call back to India and also ROW  
 High-speed data and beyond Fair Usage Policy (FUP) which means once you have exhausted your data quota for the day, unlimited internet at 64 kbps 
 Standard pay-go rates will be applicable for Rest of the World (ROW) calls 
 
 Kindly Note: 
 
 This pack is applicable for Caribbean Countries only 
 This pack is currently not available for  JioPhones   and  Jio Bharat devices"
What are the benefits/entitlements of the Wi-Fi Calling to India-only (Voice) Packs under Jio Prepaid Packs?,"Jio offers exclusive Wi-Fi Calling to India-only voice packs at the lowest rate of ₹121 applicable in 150+ countries. These packs can be used for voice calls over Wi-Fi only. 
 
 Incoming calls from any country can be received 
 Outgoing calls can be made to India only 
 Enable Wi-Fi calling on your handset and connect to a Wi-Fi network to enjoy pack benefits 
 This pack will only work if your handset supports Wi-Fi Calling. Please click  here  to check your handset’s compatibility. 
 After pack benefits get exhausted, calls from any country at ₹1/min, outgoing calls to India at ₹1/min (charged from credit limit if available until pack expiry) 
 Disable Wi-Fi Calling on your handset for making calls/SMS to local/outside India numbers 
 
 To enable Wi-Fi Calling/Voice over Wi-Fi in your device to use in IR, please click  here . 
 Looking to recharge or need to know more about IR packs? Please  click"
What is a Global (IR) Pack under Jio Prepaid Packs?,"Jio offers Global Packs which are applicable in 150+ countries with benefits as below: 
 
 
 
 
 IR Pack 
 
 
 MRP 
 
 
 Validity 
 
 
 Monetary Value 
 
 
 
 
 IR Pack ₹1101 
 
 
 ₹1101 
 
 28 days 
 ₹933.05 
 
 
 
 IR Pack ₹1102 (with Wi-Fi Calling) 
 
 
 ₹1102 
 
 28 days 
 ₹933.90 
 
 
 
 Here’re the benefits of Global Packs:

 
 The value can be used for voice calls, SMS and data usage while on International Roaming only. Please check the applicable Standard IR Rates  here . 
 The pack also offers 5 International SMSs (ISD SMS) free in addition to the monetary balance. Please click  here  to recharge as well as to know more about IR packs. Check out the benefits of the ₹1102 Pack with Wi-Fi Calling: 
 
 
 Please click here to recharge as well as to know more about IR packs.

 
 Incoming from any country at ₹1/min 
 Outgoing calls to India at ₹1/min 
 Video calls to any Jio number at ₹1/min with data deduction from the already available base plan 
 Disable Wi-Fi Calling on your handset for making calls/SMS to local/outside India numbers (Note: Standard Rates apply) 
 
 To recharge as well as to know more detail on IR packs, please check   here"
What are the different International Roaming Prepaid Packs offered by Jio?,"Jio offers you five IR pack options which can be purchased as per your usage requirement. 
 
 Global Packs- 1101 and 1102 Pack – Applicable in 160+ countries 
 
 
 IR Voice & Data Packs: 4 validity options; applicable in up to 53 countries 
 Annual IR Pack:  ₹2799 pack; valid in 53 countries 
 Canada Packs : 2 validity options; valid only in Canada 
 Caribbean Packs : 4 validity options; valid in 24 Caribbean countries 
 World Pack : ₹1499 and ₹2899 Pack; additional inflight benefit (applicable in ₹2899); valid in 88 countries 
 Saudi Arabia Packs : 3 validity options; valid only in Saudi Arabia 
 East Asia Packs : 2 validity options; valid only in Thailand, Singapore, Japan, Hong Kong, Macau and South Korea 
 US, Mexico and U.S.V.I Packs : 3 validity options; valid in 3 countries 
 Gulf Packs : 3 validity options; valid only in Gulf (UAE, Oman, Qatar and Kuwait) 
 IR Data Only Packs  - 3 validity options, applicable in 115 countries 
 Wi-Fi Calling to India-only (Voice Packs)  - 2 validity options, applicable in 160+ countries 
 
 For more details on IR packs, please  here"
What are the benefits of International Roaming (IR) Packs- Rs. 1101/Rs 1102 vs PayGo Rates?,"If the IR service is already activated then you can use  IR services   provided you have sufficient monetary balance in your account. In such case, you have to recharge with Top Up voucher to get monetary balance. 
IR Pack Rs. 1101/Rs. 1102 offers monetary balance and any usage made in IR is charged at standard PayGo rates. Also, IR Pack Rs. 1101/Rs. 1102 pack offers 5 International SMS free which can be used to send ISD SMS while in India."
Will I be charged for incoming messages while on International Roaming (IR) under Jio Prepaid Packs?,All incoming text messages are free in international roaming (IR).
What happens if my International Roaming (IR) pack gets expired while roaming internationally under Jio Prepaid Packs?,"You can do another recharge of the IR Pack Rs. 1101/Rs. 1102 or Unlimited IR pack through MyJio or jio.com and continue to enjoy International Roaming (IR) services. 
   
 In case you do not recharge with any of the  IR packs , 
   
 Prepaid Customer  - You will be charged at IR PayGo rates subject to availability of sufficient monetary balance (prepaid customers)"
Can I choose Prepaid International Roaming (IR) Pack for only the number of days I am travelling?,"Yes. We have different packs with overall 8 validity options to suit all kinds of trips – 1 day/2 days/7 days/10 days packs for short trips and 14 days/21 days/28 days and 30 days packs for longer holiday/stay abroad. Choose the one that best suits your need from the available options and for that, get all the details on IR packs  here ."
Can I use only Data while in International Roaming (IR) for prepaid?,"Yes, you can. We have 4 IR Data-only Packs with 3 validity options in top countries as per your usage needs and apart from these countries, data will be charged at Standard Roaming Rates if no other IR pack is active. 
 For more details on IR Data-only Packs, please  click 
 To check the detailed Standard PayGo Rates, please  click"
Will I be charged for data while on International Roaming (IR) under Jio Prepaid Packs?,"Data is not chargeable if your pack has data benefits. However, after pack benefits get exhausted data speed will be reduced to 64 kbps until pack expiry or if no pack is purchased, Standard PayGo Rates are applicable based on the visited country. To avoid unintentional data usage charges, it is suggested to disable background data. 
 To recharge or to know more about IR packs, please click  here."
Will I be charged for incoming calls while on International Roaming (IR) under Jio Prepaid Packs?,"Incoming calls are free under IR Voice and Data Packs(except ₹1,499) pack users. 
 However, incoming calls are charged for customers using IR Global Packs such as ₹1101/₹1102 and or IR PayGo Rates. 
 Please check Standard IR Rates at the ‘International Roaming (IR) Tariff’ on  here 
 For more details on IR packs, please click  here."
"Will I be able to make ISD calls from India, using the International Roaming (IR) pack talk time under Jio Prepaid Packs?","No, the International Roaming (IR) pack works only when you are travelling overseas. To make international calls from India, you can recharge your number with our  ISD  pack available on MyJio & jio.com or you can make ISD calls using monetary balance."
